timestamp,tweet_text,username,all_hashtags,followers_count
2019-02-28 08:31:54,@YusraSAskari Pakistani jaanbaazo ka ye haal kiya tha. You did not even take their bodies  #HowsTheJaish #Badla #HowsTheKhaufPakistan https://t.co/MioHNZp3Ca,unquietindian,"[u'HowsTheJaish', u'Badla', u'HowsTheKhaufPakistan']",171
2019-02-28 08:21:34,"@Harsh__Reddy @SajUu41 2/2 Oh and by the way, happy Valentine's day ;)  #HowsTheJaish",TheAtheist18,[u'HowsTheJaish'],2
2019-02-28 07:49:35,@Samrath48286559 @HudsonInstitute @husainhaqqani Remember #PulwamaAttack ? #HowsTheJaish ?,swapnilad,"[u'PulwamaAttack', u'HowsTheJaish']",453
2019-02-28 06:36:19,@4h2ggi3 Ok ok. Its in the Pakistani blood to disown their own. Don't claim bodies of soldiers who fought for you. How do you people sleep at night. #HowsTheJaish #Badla #HowsTheKhaufPakistan,unquietindian,"[u'HowsTheJaish', u'Badla', u'HowsTheKhaufPakistan']",171
2019-02-28 05:44:36,"@BDUTT Not with respect, you want every general affair of our country to cease because of those cowards across the LoC, sorry that is not going to happen. U criticise all u can, bcz u r 2 smart to understand it. #BetterSenseShouldPrevail #HowsTheJaish #HowIsTheJosh #HowstheKhauf . @ANI",AironYash,"[u'BetterSenseShouldPrevail', u'HowsTheJaish', u'HowIsTheJosh', u'HowstheKhauf']",8
2019-02-28 05:38:24,@4h2ggi3 Plz tell whether Kasab &amp; his gang were Pakistanis or not.  #HowsTheJaish #Badla #HowsTheKhaufPakistan,unquietindian,"[u'HowsTheJaish', u'Badla', u'HowsTheKhaufPakistan']",171
2019-02-28 05:37:50,"@murtazasolangi Good News 👏, but Clutching at Straws eh?  By the way is Pak 🇵🇰 going to OIC?  🤔 Don't tell me Pak 🇵🇰 is Sulking  #HowsTheJaish #HiwsTheJaishEAdl",singhdushy27,"[u'HowsTheJaish', u'HiwsTheJaishEAdl']",492
2019-02-28 05:34:04,We feel proud that our country is in safe hands. A big salute to IAF. Credit :- @FrogiezInc #AirStrike #SaluteToIAF #WeFeelProud #HowsTheJaish #IndiaStrikesBack #IndianAirForceTakesRevenge #Surgicalstrike2 #CreativeAd #BestAd https://t.co/2mSMFnxXP8,bestad_in,"[u'AirStrike', u'SaluteToIAF', u'WeFeelProud', u'HowsTheJaish', u'IndiaStrikesBack', u'IndianAirForceTakesRevenge', u'Surgicalstrike2', u'CreativeAd', u'BestAd']",891
2019-02-28 05:10:43,"@Adnan_sami2939 @Mukesh581997 @ShaizaOfficial After India taught them a lesson for Pulwama attacks, Pakistan is now down on its knees begging for mercy. Didn't they post #HowsTheJaish last week? Now beggars are begging for peace?",A1catalyst,[u'HowsTheJaish'],93
2019-02-28 05:01:18,We feel proud that our country is in safe hands. A big salute to IAF. #AirStrike #SaluteToIAF #WeFeelProud #HowsTheJaish #IndiaStrikesBack #Frogiez https://t.co/08y95YUc4U,FrogiezInc,"[u'AirStrike', u'SaluteToIAF', u'WeFeelProud', u'HowsTheJaish', u'IndiaStrikesBack', u'Frogiez']",192
2019-02-28 04:01:12,"With the massive heat buildup due to the sudden growth of war analysts and political marketers, showers were needed to give the  a peck of humane humility in the guise of humidity, I persume.  #PulwamaTerrorAttacks #IndiaStrikesBack #HowsTheJaish #HowsTheJosh #Edhukku",swarna_surya,"[u'PulwamaTerrorAttacks', u'IndiaStrikesBack', u'HowsTheJaish', u'HowsTheJosh', u'Edhukku']",22
2019-02-28 03:16:57,@ANI Now u can say #HowsTheJaish 👍,Vanahalli,[u'HowsTheJaish'],12
2019-02-28 03:12:52,The #Chinese are no fools. They know which side their bread is buttered. They want to an economic powerhouse. Getting into a proxy war with #India due to #Pakistani stupidity is not on their agenda.  #TerrorStatePakistan #Kashmir #Terrorism #HowsTheJaish https://t.co/zS7xAOLQh9,561cdc,"[u'Chinese', u'India', u'Pakistani', u'TerrorStatePakistan', u'Kashmir', u'Terrorism', u'HowsTheJaish']",103
