timestamp,tweet_text,username,all_hashtags,followers_count
2019-02-28 09:16:54,"As #ISIS faces demise, #Syrian #refugees remain hopeful the fate of their kin will be discovered https://t.co/Q7Xhi2AGDP",RudawEnglish,"[u'ISIS', u'Syrian', u'refugees']",355741
2019-02-28 09:16:02,Targeted #ISIS accounts https://t.co/fb85fKnIPH https://t.co/e9HvFGOaiN https://t.co/GSG3zoX4nx #targets #iceisis #opiceisis,CtrlSec,"[u'ISIS', u'targets', u'iceisis', u'opiceisis']",25856
2019-02-28 09:15:11,#Islam; #ShamimaBegum #ISIS  #IS The Qur'an: Textbook case of plagiarism https://t.co/Oqii1C82C4,PeterTownsend7,"[u'Islam', u'ShamimaBegum', u'ISIS', u'IS']",104217
2019-02-28 09:13:16,"These two beautiful #Yazidi #Children are fleeing/being rescued from #ISIS captivity, but 1000s others who were similarly abducted in 2014 remain missing. Welcome back angels. #YazidiGenocide #YazidiPlight #Yazidi #Yazidiwomen #TwitterYazidis #RescueYazidisKidnapped #Shingal https://t.co/4z7PlX2VsO",Sagvansaleem,"[u'Yazidi', u'Children', u'ISIS', u'YazidiGenocide', u'YazidiPlight', u'Yazidi', u'Yazidiwomen', u'TwitterYazidis', u'RescueYazidisKidnapped', u'Shingal']",505
2019-02-28 09:12:47,#قروب_فلسطيني  #ISIS AND ISRAEL  . https://t.co/LKzfLnlQBg,palestine_hb,"[u'\u0642\u0631\u0648\u0628_\u0641\u0644\u0633\u0637\u064a\u0646\u064a', u'ISIS']",12401
2019-02-28 09:11:20,@INFORMIUM1 @igotpaidfriday @ezralevant &lt;= #AKP #Turkey is accepting #ISIS supporters! 😏,wlbeattie,"[u'AKP', u'Turkey', u'ISIS']",2103
2019-02-28 09:11:09,US Army Takes 50 Tons of Gold From Syria in Alleged Deal With #ISIS https://t.co/sD0fpjoDLj #Trump,leafsman,"[u'ISIS', u'Trump']",579
2019-02-28 09:08:02,Targeted #ISIS accounts https://t.co/0jfgyZXb34 🏃 🇦🇫 https://t.co/QIKgaLQy1Y https://t.co/EGVlvRXVzV #targets #iceisis #opiceisis,CtrlSec,"[u'ISIS', u'targets', u'iceisis', u'opiceisis']",25856
2019-02-28 09:06:00,Head of the #KRG office tasked with rescuing #Ezidi abductees declared that a total of 45 Ezidis have been freed from #ISIS captivity in Syria since the start of this year. https://t.co/HklxU21gAr,Kirkuknow_DT,"[u'KRG', u'Ezidi', u'ISIS']",2467
2019-02-28 09:05:10,#Islam; #ShamimaBegum #ISIS  #IS  Get your free copy of the e-book 'On Islam and Indoctrination' at https://t.co/YO79zGpgrW,PeterTownsend7,"[u'Islam', u'ShamimaBegum', u'ISIS', u'IS']",104217
